payment_id,downtime_ends_at,lockout_ends_at,limit_resets_at,is_structural_limit,is_deliberate_abandon
PAY_00000,2026-08-13T04:32:22,,,False,False
PAY_00001,,,,False,False
PAY_00002,,,,False,False
PAY_00003,2026-08-14T17:32:37,,,False,False
PAY_00004,,,,False,False
PAY_00005,,2026-08-06T16:17:05,,False,False
PAY_00006,,,,False,False
PAY_00007,,,,False,False
PAY_00008,,,,False,False
PAY_00009,,,,False,False
PAY_00010,,,,False,False
PAY_00011,,,,False,False
PAY_00012,,,,False,False
PAY_00013,,,,False,False
PAY_00014,,,,False,False
PAY_00015,,,,False,False
PAY_00016,2026-08-14T10:31:48,,,False,False
PAY_00017,2026-08-14T14:16:45,,,False,False
PAY_00018,,,,False,False
PAY_00019,,,,False,False
PAY_00020,,,,False,False
PAY_00021,,,,False,False
PAY_00022,,,,False,False
PAY_00023,,,,False,False
PAY_00024,,,,False,False
PAY_00025,,,,False,False
PAY_00026,2026-08-14T04:16:13,,,False,False
PAY_00027,2026-08-22T20:35:12,,,False,False
PAY_00028,,,,False,False
PAY_00029,,,,False,False
PAY_00030,,,,False,False
PAY_00031,,,,False,False
PAY_00032,,,,False,False
PAY_00033,,,,False,False
PAY_00034,,,,False,True
PAY_00035,,,,False,False
PAY_00036,,,,False,False
PAY_00037,,,,False,False
PAY_00038,,,,False,False
PAY_00039,,,,False,False
PAY_00040,2026-08-02T23:41:55,,,False,False
PAY_00041,,,,False,True
PAY_00042,2026-08-01T02:45:36,,,False,False
PAY_00043,,,,False,False
PAY_00044,,,,False,False
PAY_00045,2026-08-25T09:57:11,,,False,False
PAY_00046,2026-08-23T02:25:46,,,False,False
PAY_00047,2026-08-03T21:26:48,,,False,False
PAY_00048,,,,False,False
PAY_00049,,,,False,False
PAY_00050,,,,False,False
PAY_00051,,,2026-08-12T00:30:00,False,False
PAY_00052,2026-08-22T23:00:20,,,False,False
PAY_00053,,,,False,False
PAY_00054,,,,False,False
PAY_00055,,,,False,False
PAY_00056,,2026-08-21T21:31:10,,False,False
PAY_00057,,2026-08-18T21:01:03,,False,False
PAY_00058,,,,True,False
PAY_00059,,,,False,False
PAY_00060,,,,False,False
PAY_00061,,2026-08-10T00:56:26,,False,False
PAY_00062,,,,False,False
PAY_00063,,,,False,False
PAY_00064,,,,False,False
PAY_00065,,,,False,False
PAY_00066,,,,False,False
PAY_00067,,,,False,False
PAY_00068,,,,False,False
PAY_00069,,,,False,False
PAY_00070,2026-08-27T01:43:37,,,False,False
PAY_00071,,,,False,False
PAY_00072,,,,False,False
PAY_00073,,,,False,False
PAY_00074,,2026-08-29T15:50:36,,False,False
PAY_00075,,2026-08-24T20:55:36,,False,False
PAY_00076,,,2026-08-26T00:30:00,False,False
PAY_00077,,,,False,False
PAY_00078,,,,False,False
PAY_00079,,,,False,False
PAY_00080,,,,False,False
PAY_00081,,,,False,False
PAY_00082,,,,False,False
PAY_00083,,,,False,False
PAY_00084,,,,False,False
PAY_00085,,,,False,False
PAY_00086,,,,False,False
PAY_00087,,,,False,False
PAY_00088,,,,False,False
PAY_00089,,,,False,False
PAY_00090,,,,False,False
PAY_00091,,,,False,False
